timestamp,solver,seed,rep,run_seed,coord_sigma,real_sigma,enable_deviation,total_time_sec,sum_solver_time_sec,total_obj,avg_Qsum,avg_backlog,avg_pushed,fairness_max_gap
20260213_133859,GREEDY_CENTRALIZED,4,1,40001,10.0,10.0,true,0.015748023986816406,0.014580011367797852,232.0,2.1875,6.125,3.25,8.0
20260213_133859,GREEDY_CENTRALIZED,5,1,50001,10.0,10.0,true,0.017987966537475586,0.017082929611206055,232.0,2.1875,6.125,3.25,8.0
20260213_133859,AGG_ORACLE_FCFS,4,1,40001,10.0,10.0,true,0.012774944305419922,0.011883258819580078,282.0,2.625,6.125,3.25,8.0
20260213_133859,AGG_ORACLE_FCFS,5,1,50001,10.0,10.0,true,0.01485896110534668,0.013437509536743164,288.0,2.625,6.125,3.25,8.0
20260213_133859,CE_NAIVE,4,1,40001,10.0,10.0,true,2.703442096710205,2.7030482292175293,257.0,3.25,4.9375,3.4375,10.0
20260213_133859,CE_NAIVE,5,1,50001,10.0,10.0,true,2.475588083267212,2.475196361541748,257.0,3.1875,4.9375,3.4375,10.0
20260213_133859,RRCE_PNE,4,1,40001,10.0,10.0,true,2.172351121902466,2.1708314418792725,505.0,3.5625,6.0625,3.4375,14.0
20260213_133859,RRCE_PNE,5,1,50001,10.0,10.0,true,2.1851940155029297,2.1836860179901123,514.0,3.5625,6.0,3.4375,14.0
