timestamp,solver,seed,rep,run_seed,coord_sigma,real_sigma,epoch,t,Qsum,n_backlog,n_pushed,J_coord,solver_time_sec,fairness_ep
20260213_143843,GREEDY_CENTRALIZED,2,1,20001,50.0,50.0,1,0,0,1,1,0.0,6.580352783203125e-5,0.0
20260213_143843,GREEDY_CENTRALIZED,2,1,20001,50.0,50.0,2,4,0,1,1,0.0,4.0531158447265625e-6,0.0
20260213_143843,GREEDY_CENTRALIZED,2,1,20001,50.0,50.0,3,8,0,2,2,0.0,2.288818359375e-5,0.0
20260213_143843,GREEDY_CENTRALIZED,2,1,20001,50.0,50.0,4,12,0,3,3,0.0,1.621246337890625e-5,0.0
20260213_143843,GREEDY_CENTRALIZED,2,1,20001,50.0,50.0,5,16,0,1,1,0.0,3.0994415283203125e-6,0.0
20260213_143843,GREEDY_CENTRALIZED,2,1,20001,50.0,50.0,6,20,0,7,4,12.0,0.0003299713134765625,1000.0
20260213_143843,GREEDY_CENTRALIZED,2,1,20001,50.0,50.0,7,24,1,10,4,24.0,0.0032951831817626953,1000.0
20260213_143843,GREEDY_CENTRALIZED,2,1,20001,50.0,50.0,8,28,1,7,4,12.0,0.000392913818359375,1000.0
20260213_143843,GREEDY_CENTRALIZED,2,1,20001,50.0,50.0,9,32,3,5,4,4.0,9.393692016601562e-5,333.3333333333333
20260213_143843,GREEDY_CENTRALIZED,2,1,20001,50.0,50.0,10,36,4,6,4,8.0,0.00017189979553222656,573.3333333333334
20260213_143843,GREEDY_CENTRALIZED,2,1,20001,50.0,50.0,11,40,4,8,4,16.0,0.0006961822509765625,720.0
20260213_143843,GREEDY_CENTRALIZED,2,1,20001,50.0,50.0,12,44,4,7,4,12.0,0.00036787986755371094,720.0
20260213_143843,GREEDY_CENTRALIZED,2,1,20001,50.0,50.0,13,48,4,9,4,20.0,0.0014998912811279297,800.0
20260213_143843,GREEDY_CENTRALIZED,2,1,20001,50.0,50.0,14,52,4,12,4,32.0,0.020899057388305664,680.0
20260213_143843,GREEDY_CENTRALIZED,2,1,20001,50.0,50.0,15,56,4,10,4,52.0,0.0026412010192871094,980.0
20260213_143843,GREEDY_CENTRALIZED,2,1,20001,50.0,50.0,16,60,6,9,4,40.0,0.0014400482177734375,1480.0
20260213_143843,AGG_ORACLE_FCFS,2,1,20001,50.0,50.0,1,0,0,1,1,0.0,2.002716064453125e-5,0.0
20260213_143843,AGG_ORACLE_FCFS,2,1,20001,50.0,50.0,2,4,0,1,1,0.0,4.0531158447265625e-6,0.0
20260213_143843,AGG_ORACLE_FCFS,2,1,20001,50.0,50.0,3,8,0,2,2,0.0,1.5974044799804688e-5,0.0
20260213_143843,AGG_ORACLE_FCFS,2,1,20001,50.0,50.0,4,12,0,3,3,0.0,1.811981201171875e-5,0.0
20260213_143843,AGG_ORACLE_FCFS,2,1,20001,50.0,50.0,5,16,0,1,1,0.0,3.0994415283203125e-6,0.0
20260213_143843,AGG_ORACLE_FCFS,2,1,20001,50.0,50.0,6,20,0,7,4,12.0,0.00030303001403808594,1000.0
20260213_143843,AGG_ORACLE_FCFS,2,1,20001,50.0,50.0,7,24,1,10,4,24.0,0.0033240318298339844,1000.0
20260213_143843,AGG_ORACLE_FCFS,2,1,20001,50.0,50.0,8,28,1,7,4,12.0,0.0003631114959716797,1000.0
20260213_143843,AGG_ORACLE_FCFS,2,1,20001,50.0,50.0,9,32,3,5,4,4.0,8.893013000488281e-5,333.3333333333333
