timestamp,solver,seed,rep,run_seed,coord_sigma,real_sigma,enable_deviation,total_time_sec,sum_solver_time_sec,total_obj,avg_Qsum,avg_backlog,avg_pushed,fairness_max_gap
20260213_150640,GREEDY_CENTRALIZED,9332,1,93320001,100.0,100.0,true,0.03071880340576172,0.030237436294555664,232.0,2.1875,6.125,3.25,8.0
20260213_150640,AGG_ORACLE_FCFS,9332,1,93320001,100.0,100.0,true,0.026673078536987305,0.026200294494628906,288.0,2.625,6.125,3.25,8.0
20260213_150640,CE_NAIVE,9332,1,93320001,100.0,100.0,true,2.665462017059326,2.6650278568267822,281.0,3.0625,5.25,3.4375,8.333333333333334
20260213_150640,RRCE_PNE,9332,1,93320001,100.0,100.0,true,1.6318130493164062,1.6314284801483154,265.0,3.0625,5.0625,3.4375,8.333333333333334
