timestamp,solver,seed,rep,run_seed,coord_sigma,real_sigma,epoch,t,Qsum,n_backlog,n_pushed,J_coord,solver_time_sec,fairness_ep
20260213_143824,GREEDY_CENTRALIZED,2,1,20001,5.0,5.0,1,0,0,1,1,0.0,6.794929504394531e-5,0.0
20260213_143824,GREEDY_CENTRALIZED,2,1,20001,5.0,5.0,2,4,0,1,1,0.0,5.0067901611328125e-6,0.0
20260213_143824,GREEDY_CENTRALIZED,2,1,20001,5.0,5.0,3,8,0,2,2,0.0,3.695487976074219e-5,0.0
20260213_143824,GREEDY_CENTRALIZED,2,1,20001,5.0,5.0,4,12,0,3,3,0.0,1.71661376953125e-5,0.0
20260213_143824,GREEDY_CENTRALIZED,2,1,20001,5.0,5.0,5,16,0,1,1,0.0,4.0531158447265625e-6,0.0
20260213_143824,GREEDY_CENTRALIZED,2,1,20001,5.0,5.0,6,20,0,7,4,12.0,0.00040602684020996094,1000.0
20260213_143824,GREEDY_CENTRALIZED,2,1,20001,5.0,5.0,7,24,1,10,4,24.0,0.0037038326263427734,1000.0
20260213_143824,GREEDY_CENTRALIZED,2,1,20001,5.0,5.0,8,28,1,7,4,12.0,0.0004508495330810547,1000.0
20260213_143824,GREEDY_CENTRALIZED,2,1,20001,5.0,5.0,9,32,3,5,4,4.0,0.00010585784912109375,333.3333333333333
20260213_143824,GREEDY_CENTRALIZED,2,1,20001,5.0,5.0,10,36,4,6,4,8.0,0.00024700164794921875,573.3333333333334
20260213_143824,GREEDY_CENTRALIZED,2,1,20001,5.0,5.0,11,40,4,8,4,16.0,0.0008900165557861328,720.0
20260213_143824,GREEDY_CENTRALIZED,2,1,20001,5.0,5.0,12,44,4,7,4,12.0,0.00039505958557128906,720.0
20260213_143824,GREEDY_CENTRALIZED,2,1,20001,5.0,5.0,13,48,4,9,4,20.0,0.0015430450439453125,800.0
20260213_143824,GREEDY_CENTRALIZED,2,1,20001,5.0,5.0,14,52,4,12,4,32.0,0.03279399871826172,680.0
20260213_143824,GREEDY_CENTRALIZED,2,1,20001,5.0,5.0,15,56,4,10,4,52.0,0.0028078556060791016,980.0
20260213_143824,GREEDY_CENTRALIZED,2,1,20001,5.0,5.0,16,60,6,9,4,40.0,0.0014569759368896484,1480.0
20260213_143824,AGG_ORACLE_FCFS,2,1,20001,5.0,5.0,1,0,0,1,1,0.0,1.5974044799804688e-5,0.0
20260213_143824,AGG_ORACLE_FCFS,2,1,20001,5.0,5.0,2,4,0,1,1,0.0,3.814697265625e-6,0.0
20260213_143824,AGG_ORACLE_FCFS,2,1,20001,5.0,5.0,3,8,0,2,2,0.0,1.6927719116210938e-5,0.0
20260213_143824,AGG_ORACLE_FCFS,2,1,20001,5.0,5.0,4,12,0,3,3,0.0,1.8835067749023438e-5,0.0
20260213_143824,AGG_ORACLE_FCFS,2,1,20001,5.0,5.0,5,16,0,1,1,0.0,4.0531158447265625e-6,0.0
20260213_143824,AGG_ORACLE_FCFS,2,1,20001,5.0,5.0,6,20,0,7,4,12.0,0.00032901763916015625,1000.0
20260213_143824,AGG_ORACLE_FCFS,2,1,20001,5.0,5.0,7,24,1,10,4,24.0,0.009325981140136719,1000.0
20260213_143824,AGG_ORACLE_FCFS,2,1,20001,5.0,5.0,8,28,1,7,4,12.0,0.0004019737243652344,1000.0
20260213_143824,AGG_ORACLE_FCFS,2,1,20001,5.0,5.0,9,32,3,5,4,4.0,9.489059448242188e-5,333.3333333333333
20260213_143824,AGG_ORACLE_FCFS,2,1,20001,5.0,5.0,10,36,4,6,4,14.0,0.0001800060272216797,740.0
20260213_143824,AGG_ORACLE_FCFS,2,1,20001,5.0,5.0,11,40,5,8,4,16.0,0.0007219314575195312,720.0
20260213_143824,AGG_ORACLE_FCFS,2,1,20001,5.0,5.0,12,44,5,7,4,12.0,0.0003371238708496094,720.0
20260213_143824,AGG_ORACLE_FCFS,2,1,20001,5.0,5.0,13,48,5,9,4,48.0,0.0013179779052734375,813.3333333333333
20260213_143824,AGG_ORACLE_FCFS,2,1,20001,5.0,5.0,14,52,6,12,4,56.0,0.014702796936035156,1440.0
20260213_143824,AGG_ORACLE_FCFS,2,1,20001,5.0,5.0,15,56,6,10,4,44.0,0.0029289722442626953,1340.0
20260213_143824,AGG_ORACLE_FCFS,2,1,20001,5.0,5.0,16,60,6,9,4,40.0,0.001466989517211914,1480.0
20260213_143824,CE_NAIVE,2,1,20001,5.0,5.0,1,0,0,1,1,0.0,0.09057307243347168,0.0
20260213_143824,CE_NAIVE,2,1,20001,5.0,5.0,2,4,0,1,1,0.0,0.08601522445678711,0.0
20260213_143824,CE_NAIVE,2,1,20001,5.0,5.0,3,8,0,2,2,0.0,0.09163999557495117,0.0
20260213_143824,CE_NAIVE,2,1,20001,5.0,5.0,4,12,0,3,3,0.0,0.09196114540100098,0.0
20260213_143824,CE_NAIVE,2,1,20001,5.0,5.0,5,16,0,1,1,0.0,0.10544705390930176,0.0
20260213_143824,CE_NAIVE,2,1,20001,5.0,5.0,6,20,0,7,7,21.0,0.11698198318481445,360.0
20260213_143824,CE_NAIVE,2,1,20001,5.0,5.0,7,24,4,7,5,15.0,0.11324310302734375,720.0
20260213_143824,CE_NAIVE,2,1,20001,5.0,5.0,8,28,5,3,2,4.0,0.09222102165222168,500.0
20260213_143824,CE_NAIVE,2,1,20001,5.0,5.0,9,32,4,3,3,6.0,0.10558009147644043,100.0
20260213_143824,CE_NAIVE,2,1,20001,5.0,5.0,10,36,5,5,5,9.0,0.10511398315429688,535.0
20260213_143824,CE_NAIVE,2,1,20001,5.0,5.0,11,40,6,6,4,16.0,0.10590100288391113,790.0
20260213_143824,CE_NAIVE,2,1,20001,5.0,5.0,12,44,6,5,4,20.0,0.10798311233520508,1220.0
20260213_143824,CE_NAIVE,2,1,20001,5.0,5.0,13,48,6,7,5,45.0,0.11185598373413086,1563.3333333333335
20260213_143824,CE_NAIVE,2,1,20001,5.0,5.0,14,52,7,9,6,60.0,0.10440993309020996,2680.0
20260213_143824,CE_NAIVE,2,1,20001,5.0,5.0,15,56,9,5,4,36.0,0.0927591323852539,1320.0
20260213_143824,CE_NAIVE,2,1,20001,5.0,5.0,16,60,9,4,4,30.0,0.10315895080566406,900.0
20260213_143824,RRCE_PNE,2,1,20001,5.0,5.0,1,0,0,1,1,0.0,0.08799195289611816,0.0
20260213_143824,RRCE_PNE,2,1,20001,5.0,5.0,2,4,0,1,1,0.0,0.08647513389587402,0.0
20260213_143824,RRCE_PNE,2,1,20001,5.0,5.0,3,8,0,2,2,0.0,0.09150099754333496,0.0
20260213_143824,RRCE_PNE,2,1,20001,5.0,5.0,4,12,0,3,3,0.0,0.09085392951965332,0.0
20260213_143824,RRCE_PNE,2,1,20001,5.0,5.0,5,16,0,1,1,0.0,0.0863199234008789,0.0
