timestamp,solver,seed,rep,run_seed,coord_sigma,real_sigma,epoch,t,Qsum,n_backlog,n_pushed,J_coord,solver_time_sec,fairness_ep
20260213_145435,GREEDY_CENTRALIZED,5753,1,57530001,20.0,20.0,1,0,0,2,2,0.0,8.106231689453125e-5,0.0
20260213_145435,GREEDY_CENTRALIZED,5753,1,57530001,20.0,20.0,2,4,0,6,4,8.0,0.00017595291137695312,720.0
20260213_145435,GREEDY_CENTRALIZED,5753,1,57530001,20.0,20.0,3,8,0,7,4,12.0,0.0003459453582763672,720.0
20260213_145435,GREEDY_CENTRALIZED,5753,1,57530001,20.0,20.0,4,12,1,10,4,24.0,0.0025458335876464844,640.0
20260213_145435,GREEDY_CENTRALIZED,5753,1,57530001,20.0,20.0,5,16,1,11,4,28.0,0.0060808658599853516,720.0
20260213_145435,GREEDY_CENTRALIZED,5753,1,57530001,20.0,20.0,6,20,1,12,4,32.0,0.027165889739990234,824.0
20260213_145435,GREEDY_CENTRALIZED,5753,1,57530001,20.0,20.0,7,24,2,15,5,55.0,0.10647797584533691,1044.0
20260213_145435,GREEDY_CENTRALIZED,5753,1,57530001,20.0,20.0,8,28,3,15,5,55.0,0.1085059642791748,1105.0
20260213_145435,GREEDY_CENTRALIZED,5753,1,57530001,20.0,20.0,9,32,4,16,7,212.0,0.330049991607666,887.5
20260213_145435,GREEDY_CENTRALIZED,5753,1,57530001,20.0,20.0,10,36,7,14,5,60.0,0.052291154861450195,616.6666666666666
20260213_145435,GREEDY_CENTRALIZED,5753,1,57530001,20.0,20.0,11,40,8,13,5,53.0,0.02570509910583496,725.0
20260213_145435,GREEDY_CENTRALIZED,5753,1,57530001,20.0,20.0,12,44,9,14,5,78.0,0.05176186561584473,930.0
20260213_145435,GREEDY_CENTRALIZED,5753,1,57530001,20.0,20.0,13,48,10,16,5,114.0,0.30464696884155273,570.0
20260213_145435,GREEDY_CENTRALIZED,5753,1,57530001,20.0,20.0,14,52,11,16,6,190.0,0.21697497367858887,840.0
20260213_145435,GREEDY_CENTRALIZED,5753,1,57530001,20.0,20.0,15,56,13,16,6,222.0,0.30985188484191895,680.0
20260213_145435,GREEDY_CENTRALIZED,5753,1,57530001,20.0,20.0,16,60,15,13,6,192.0,0.02863001823425293,1416.0
20260213_145435,AGG_ORACLE_FCFS,5753,1,57530001,20.0,20.0,1,0,0,2,2,0.0,2.09808349609375e-5,0.0
20260213_145435,AGG_ORACLE_FCFS,5753,1,57530001,20.0,20.0,2,4,0,6,4,8.0,0.00015401840209960938,720.0
20260213_145435,AGG_ORACLE_FCFS,5753,1,57530001,20.0,20.0,3,8,0,7,4,12.0,0.0003139972686767578,720.0
20260213_145435,AGG_ORACLE_FCFS,5753,1,57530001,20.0,20.0,4,12,1,10,4,24.0,0.0024480819702148438,640.0
20260213_145435,AGG_ORACLE_FCFS,5753,1,57530001,20.0,20.0,5,16,1,11,4,28.0,0.005812168121337891,720.0
20260213_145435,AGG_ORACLE_FCFS,5753,1,57530001,20.0,20.0,6,20,1,12,4,32.0,0.011135101318359375,824.0
20260213_145435,AGG_ORACLE_FCFS,5753,1,57530001,20.0,20.0,7,24,2,15,5,55.0,0.10470414161682129,1044.0
20260213_145435,AGG_ORACLE_FCFS,5753,1,57530001,20.0,20.0,8,28,3,15,5,55.0,0.10690999031066895,1105.0
20260213_145435,AGG_ORACLE_FCFS,5753,1,57530001,20.0,20.0,9,32,4,16,7,212.0,0.32339000701904297,887.5
20260213_145435,AGG_ORACLE_FCFS,5753,1,57530001,20.0,20.0,10,36,7,14,5,60.0,0.05925798416137695,616.6666666666666
20260213_145435,AGG_ORACLE_FCFS,5753,1,57530001,20.0,20.0,11,40,8,13,5,53.0,0.023792028427124023,725.0
20260213_145435,AGG_ORACLE_FCFS,5753,1,57530001,20.0,20.0,12,44,9,14,5,78.0,0.05280900001525879,930.0
20260213_145435,AGG_ORACLE_FCFS,5753,1,57530001,20.0,20.0,13,48,10,16,5,114.0,0.21502113342285156,570.0
20260213_145435,AGG_ORACLE_FCFS,5753,1,57530001,20.0,20.0,14,52,11,16,6,190.0,0.30161023139953613,840.0
20260213_145435,AGG_ORACLE_FCFS,5753,1,57530001,20.0,20.0,15,56,13,16,6,222.0,0.23440289497375488,680.0
20260213_145435,AGG_ORACLE_FCFS,5753,1,57530001,20.0,20.0,16,60,15,13,6,192.0,0.024600982666015625,1416.0
20260213_145435,CE_NAIVE,5753,1,57530001,20.0,20.0,1,0,0,2,2,0.0,0.0994100570678711,0.0
20260213_145435,CE_NAIVE,5753,1,57530001,20.0,20.0,2,4,0,6,5,10.0,0.11243700981140137,595.0
20260213_145435,CE_NAIVE,5753,1,57530001,20.0,20.0,3,8,2,6,5,10.0,0.12705588340759277,290.0
20260213_145435,CE_NAIVE,5753,1,57530001,20.0,20.0,4,12,3,8,5,20.0,0.4470400810241699,480.0
20260213_145435,CE_NAIVE,5753,1,57530001,20.0,20.0,5,16,4,8,5,20.0,0.19993805885314941,407.5
20260213_145435,CE_NAIVE,5753,1,57530001,20.0,20.0,6,20,5,8,5,20.0,0.21178483963012695,680.0
20260213_145435,CE_NAIVE,5753,1,57530001,20.0,20.0,7,24,6,10,5,46.0,0.266010046005249,1385.0
20260213_145435,CE_NAIVE,5753,1,57530001,20.0,20.0,8,28,7,10,5,44.0,0.30373191833496094,1052.5
20260213_145435,CE_NAIVE,5753,1,57530001,20.0,20.0,9,32,8,11,5,77.0,0.19774699211120605,1892.5
20260213_145435,CE_NAIVE,5753,1,57530001,20.0,20.0,10,36,9,11,5,55.0,0.21495914459228516,925.0
20260213_145435,CE_NAIVE,5753,1,57530001,20.0,20.0,11,40,10,10,5,54.0,0.19921278953552246,1075.0
20260213_145435,CE_NAIVE,5753,1,57530001,20.0,20.0,12,44,11,11,4,52.0,0.29554009437561035,1825.0
20260213_145435,CE_NAIVE,5753,1,57530001,20.0,20.0,13,48,11,14,5,106.0,0.18729090690612793,784.0
20260213_145435,CE_NAIVE,5753,1,57530001,20.0,20.0,14,52,12,14,5,122.0,0.19184398651123047,440.0
20260213_145435,CE_NAIVE,5753,1,57530001,20.0,20.0,15,56,13,15,5,145.0,0.2720470428466797,456.6666666666665
20260213_145435,CE_NAIVE,5753,1,57530001,20.0,20.0,16,60,14,13,6,182.0,0.1751999855041504,1340.0
20260213_145435,RRCE_PNE,5753,1,57530001,20.0,20.0,1,0,0,2,2,0.0,0.09671807289123535,0.0
20260213_145435,RRCE_PNE,5753,1,57530001,20.0,20.0,2,4,0,6,5,10.0,0.11293983459472656,595.0
20260213_145435,RRCE_PNE,5753,1,57530001,20.0,20.0,3,8,1,6,5,10.0,0.10913610458374023,595.0
20260213_145435,RRCE_PNE,5753,1,57530001,20.0,20.0,4,12,2,8,5,20.0,0.1120450496673584,720.0
20260213_145435,RRCE_PNE,5753,1,57530001,20.0,20.0,5,16,3,8,5,20.0,0.17670583724975586,1036.6666666666667
20260213_145435,RRCE_PNE,5753,1,57530001,20.0,20.0,6,20,4,8,5,20.0,0.17780709266662598,507.5
20260213_145435,RRCE_PNE,5753,1,57530001,20.0,20.0,7,24,5,10,5,30.0,0.3344440460205078,1075.0
20260213_145435,RRCE_PNE,5753,1,57530001,20.0,20.0,8,28,6,10,5,30.0,0.3173079490661621,440.0
20260213_145435,RRCE_PNE,5753,1,57530001,20.0,20.0,9,32,7,11,5,63.0,0.27512598037719727,965.0
20260213_145435,RRCE_PNE,5753,1,57530001,20.0,20.0,10,36,8,11,5,45.0,0.271575927734375,1070.0
20260213_145435,RRCE_PNE,5753,1,57530001,20.0,20.0,11,40,9,10,5,46.0,0.2850000858306885,505.0
20260213_145435,RRCE_PNE,5753,1,57530001,20.0,20.0,12,44,10,11,4,44.0,0.28829312324523926,1460.0
20260213_145435,RRCE_PNE,5753,1,57530001,20.0,20.0,13,48,10,14,5,94.0,0.2572338581085205,580.0
20260213_145435,RRCE_PNE,5753,1,57530001,20.0,20.0,14,52,11,14,5,110.0,0.2545340061187744,640.0
20260213_145435,RRCE_PNE,5753,1,57530001,20.0,20.0,15,56,12,15,5,131.0,0.27188587188720703,493.3333333333335
20260213_145435,RRCE_PNE,5753,1,57530001,20.0,20.0,16,60,13,13,6,168.0,0.16135883331298828,1192.0
