timestamp,solver,seed,rep,run_seed,coord_sigma,real_sigma,enable_deviation,total_time_sec,sum_solver_time_sec,total_obj,avg_Qsum,avg_backlog,avg_pushed,fairness_max_gap
20260213_141013,GREEDY_CENTRALIZED,10,1,100001,10.0,10.0,true,0.060832977294921875,0.0589749813079834,232.0,2.1875,6.125,3.25,8.0
20260213_141013,GREEDY_CENTRALIZED,11,1,110001,10.0,10.0,true,0.02917003631591797,0.02864384651184082,232.0,2.1875,6.125,3.25,8.0
20260213_141013,AGG_ORACLE_FCFS,10,1,100001,10.0,10.0,true,0.027477025985717773,0.026983261108398438,288.0,2.625,6.125,3.25,8.0
20260213_141013,AGG_ORACLE_FCFS,11,1,110001,10.0,10.0,true,0.02468705177307129,0.024192333221435547,282.0,2.625,6.125,3.25,8.0
20260213_141013,CE_NAIVE,10,1,100001,10.0,10.0,true,2.2935941219329834,2.2931714057922363,257.0,3.1875,4.9375,3.4375,10.0
20260213_141013,CE_NAIVE,11,1,110001,10.0,10.0,true,2.3831708431243896,2.3828396797180176,259.0,3.5,4.6875,3.5,10.0
20260213_141013,RRCE_PNE,10,1,100001,10.0,10.0,true,1.6898579597473145,1.689385175704956,291.0,3.25,5.25,3.4375,10.0
20260213_141013,RRCE_PNE,11,1,110001,10.0,10.0,true,1.708878993988037,1.7084319591522217,291.0,3.25,5.25,3.4375,10.0
