timestamp,solver,seed,rep,run_seed,coord_sigma,real_sigma,enable_deviation,total_time_sec,sum_solver_time_sec,total_obj,avg_Qsum,avg_backlog,avg_pushed,fairness_max_gap
20260213_150141,GREEDY_CENTRALIZED,3936,1,39360001,100.0,100.0,true,0.02527904510498047,0.024564027786254883,232.0,2.1875,6.125,3.25,8.0
20260213_150141,GREEDY_CENTRALIZED,3478,1,34780001,100.0,100.0,true,0.08370113372802734,0.08321309089660645,232.0,2.1875,6.125,3.25,8.0
20260213_150141,GREEDY_CENTRALIZED,1970,1,19700001,100.0,100.0,true,0.10226702690124512,0.10178852081298828,232.0,2.1875,6.125,3.25,8.0
20260213_150141,AGG_ORACLE_FCFS,3936,1,39360001,100.0,100.0,true,0.023135900497436523,0.02267932891845703,1441.0,2.625,6.0,3.375,153.5
20260213_150141,AGG_ORACLE_FCFS,3478,1,34780001,100.0,100.0,true,0.02371692657470703,0.02323746681213379,1529.0,2.5,6.0625,3.3125,121.0
20260213_150141,AGG_ORACLE_FCFS,1970,1,19700001,100.0,100.0,true,0.023813962936401367,0.02330803871154785,2169.0,2.5,6.0625,3.3125,151.5
20260213_150141,CE_NAIVE,3936,1,39360001,100.0,100.0,true,2.4739320278167725,2.4736318588256836,261.0,3.625,4.5625,3.5,10.0
20260213_150141,CE_NAIVE,3478,1,34780001,100.0,100.0,true,2.3739750385284424,2.373657703399658,272.0,3.5625,4.5625,3.5625,10.333333333333334
20260213_150141,CE_NAIVE,1970,1,19700001,100.0,100.0,true,2.376962900161743,2.3766403198242188,261.0,3.375,4.75,3.5,10.0
20260213_150141,RRCE_PNE,3936,1,39360001,100.0,100.0,true,1.8305490016937256,1.8299624919891357,776.0,2.6875,5.625,3.375,123.0
20260213_150141,RRCE_PNE,3478,1,34780001,100.0,100.0,true,1.7236580848693848,1.7232887744903564,253.0,3.0625,5.0625,3.4375,10.0
20260213_150141,RRCE_PNE,1970,1,19700001,100.0,100.0,true,1.64180588722229,1.641434669494629,253.0,3.0625,5.0625,3.4375,10.0
