timestamp,solver,seed,rep,run_seed,coord_sigma,real_sigma,epoch,t,Qsum,n_backlog,n_pushed,J_coord,solver_time_sec,fairness_ep
20260213_144742,GREEDY_CENTRALIZED,50,1,500001,20.0,20.0,1,0,0,1,1,0.0,4.8160552978515625e-5,0.0
20260213_144742,GREEDY_CENTRALIZED,50,1,500001,20.0,20.0,2,4,0,4,4,0.0,5.1021575927734375e-5,0.0
20260213_144742,GREEDY_CENTRALIZED,50,1,500001,20.0,20.0,3,8,1,4,4,0.0,4.291534423828125e-5,0.0
20260213_144742,GREEDY_CENTRALIZED,50,1,500001,20.0,20.0,4,12,1,6,4,8.0,0.00016999244689941406,960.0
20260213_144742,GREEDY_CENTRALIZED,50,1,500001,20.0,20.0,5,16,1,6,4,8.0,0.00015115737915039062,960.0
20260213_144742,GREEDY_CENTRALIZED,50,1,500001,20.0,20.0,6,20,1,7,4,12.0,0.0003190040588378906,720.0
20260213_144742,GREEDY_CENTRALIZED,50,1,500001,20.0,20.0,7,24,1,8,4,16.0,0.0007441043853759766,813.3333333333334
20260213_144742,GREEDY_CENTRALIZED,50,1,500001,20.0,20.0,8,28,3,8,4,16.0,0.0006849765777587891,1200.0
20260213_144742,GREEDY_CENTRALIZED,50,1,500001,20.0,20.0,9,32,3,8,4,16.0,0.0007419586181640625,906.6666666666666
20260213_144742,GREEDY_CENTRALIZED,50,1,500001,20.0,20.0,10,36,3,9,4,20.0,0.0014181137084960938,860.0
20260213_144742,GREEDY_CENTRALIZED,50,1,500001,20.0,20.0,11,40,3,9,4,20.0,0.0015308856964111328,720.0
20260213_144742,GREEDY_CENTRALIZED,50,1,500001,20.0,20.0,12,44,3,9,4,20.0,0.0014579296112060547,860.0
20260213_144742,GREEDY_CENTRALIZED,50,1,500001,20.0,20.0,13,48,3,10,4,24.0,0.011811971664428711,360.0
20260213_144742,GREEDY_CENTRALIZED,50,1,500001,20.0,20.0,14,52,3,10,4,24.0,0.002805948257446289,1000.0
20260213_144742,GREEDY_CENTRALIZED,50,1,500001,20.0,20.0,15,56,4,10,4,24.0,0.0026459693908691406,1200.0
20260213_144742,GREEDY_CENTRALIZED,50,1,500001,20.0,20.0,16,60,4,9,4,34.0,0.0010838508605957031,300.0
20260213_144742,AGG_ORACLE_FCFS,50,1,500001,20.0,20.0,1,0,0,1,1,0.0,1.3113021850585938e-5,0.0
20260213_144742,AGG_ORACLE_FCFS,50,1,500001,20.0,20.0,2,4,0,4,4,0.0,3.814697265625e-5,0.0
20260213_144742,AGG_ORACLE_FCFS,50,1,500001,20.0,20.0,3,8,1,4,4,0.0,3.504753112792969e-5,0.0
20260213_144742,AGG_ORACLE_FCFS,50,1,500001,20.0,20.0,4,12,1,6,4,8.0,0.0001499652862548828,960.0
20260213_144742,AGG_ORACLE_FCFS,50,1,500001,20.0,20.0,5,16,1,6,4,8.0,0.00013518333435058594,960.0
20260213_144742,AGG_ORACLE_FCFS,50,1,500001,20.0,20.0,6,20,1,7,4,12.0,0.00029397010803222656,720.0
20260213_144742,AGG_ORACLE_FCFS,50,1,500001,20.0,20.0,7,24,2,8,4,16.0,0.0006859302520751953,813.3333333333334
20260213_144742,AGG_ORACLE_FCFS,50,1,500001,20.0,20.0,8,28,3,8,4,208.0,0.0007112026214599609,12093.333333333334
20260213_144742,AGG_ORACLE_FCFS,50,1,500001,20.0,20.0,9,32,3,8,4,212.0,0.0006549358367919922,12093.333333333334
20260213_144742,AGG_ORACLE_FCFS,50,1,500001,20.0,20.0,10,36,3,9,4,160.0,0.0012099742889404297,6910.0
20260213_144742,AGG_ORACLE_FCFS,50,1,500001,20.0,20.0,11,40,3,9,4,164.0,0.005321979522705078,8880.0
20260213_144742,AGG_ORACLE_FCFS,50,1,500001,20.0,20.0,12,44,3,9,4,300.0,0.001474142074584961,12960.0
20260213_144742,AGG_ORACLE_FCFS,50,1,500001,20.0,20.0,13,48,3,10,4,693.0,0.003246784210205078,22680.0
20260213_144742,AGG_ORACLE_FCFS,50,1,500001,20.0,20.0,14,52,4,10,4,717.0,0.002769947052001953,45480.0
20260213_144742,AGG_ORACLE_FCFS,50,1,500001,20.0,20.0,15,56,5,10,4,343.0,0.0026760101318359375,9270.0
20260213_144742,AGG_ORACLE_FCFS,50,1,500001,20.0,20.0,16,60,5,9,4,466.0,0.0012199878692626953,12532.5
20260213_144742,CE_NAIVE,50,1,500001,20.0,20.0,1,0,0,1,1,0.0,0.09533500671386719,0.0
20260213_144742,CE_NAIVE,50,1,500001,20.0,20.0,2,4,0,4,4,0.0,0.09580111503601074,0.0
20260213_144742,CE_NAIVE,50,1,500001,20.0,20.0,3,8,1,4,4,0.0,0.09838294982910156,0.0
20260213_144742,CE_NAIVE,50,1,500001,20.0,20.0,4,12,1,6,6,12.0,0.1020050048828125,120.0
20260213_144742,CE_NAIVE,50,1,500001,20.0,20.0,5,16,3,4,4,0.0,0.09613704681396484,0.0
20260213_144742,CE_NAIVE,50,1,500001,20.0,20.0,6,20,3,5,4,4.0,0.09417390823364258,240.0
20260213_144742,CE_NAIVE,50,1,500001,20.0,20.0,7,24,3,6,6,12.0,0.10249090194702148,240.0
20260213_144742,CE_NAIVE,50,1,500001,20.0,20.0,8,28,5,4,4,0.0,0.09548807144165039,0.0
20260213_144742,CE_NAIVE,50,1,500001,20.0,20.0,9,32,5,4,4,0.0,0.10349082946777344,0.0
20260213_144742,CE_NAIVE,50,1,500001,20.0,20.0,10,36,5,5,5,5.0,0.0984649658203125,40.0
20260213_144742,CE_NAIVE,50,1,500001,20.0,20.0,11,40,6,4,4,0.0,0.0990300178527832,0.0
20260213_144742,CE_NAIVE,50,1,500001,20.0,20.0,12,44,6,4,3,4.0,0.09583806991577148,360.0
20260213_144742,CE_NAIVE,50,1,500001,20.0,20.0,13,48,5,6,6,28.0,0.16803193092346191,1140.0
20260213_144742,CE_NAIVE,50,1,500001,20.0,20.0,14,52,7,4,4,8.0,0.10724306106567383,720.0
20260213_144742,CE_NAIVE,50,1,500001,20.0,20.0,15,56,7,4,4,8.0,0.09761190414428711,720.0
20260213_144742,CE_NAIVE,50,1,500001,20.0,20.0,16,60,7,3,1,14.0,0.11167001724243164,1200.0
20260213_144742,RRCE_PNE,50,1,500001,20.0,20.0,1,0,0,1,1,0.0,0.09113907814025879,0.0
20260213_144742,RRCE_PNE,50,1,500001,20.0,20.0,2,4,0,4,4,0.0,0.10132908821105957,0.0
20260213_144742,RRCE_PNE,50,1,500001,20.0,20.0,3,8,1,4,4,0.0,0.09585785865783691,0.0
20260213_144742,RRCE_PNE,50,1,500001,20.0,20.0,4,12,1,6,6,12.0,0.11308097839355469,120.0
20260213_144742,RRCE_PNE,50,1,500001,20.0,20.0,5,16,3,4,4,0.0,0.0918269157409668,0.0
20260213_144742,RRCE_PNE,50,1,500001,20.0,20.0,6,20,3,5,4,4.0,0.00016498565673828125,720.0
20260213_144742,RRCE_PNE,50,1,500001,20.0,20.0,7,24,3,6,6,12.0,0.10637593269348145,240.0
