timestamp,solver,seed,rep,run_seed,coord_sigma,real_sigma,enable_deviation,total_time_sec,sum_solver_time_sec,total_obj,avg_Qsum,avg_backlog,avg_pushed,fairness_max_gap
20260213_144308,GREEDY_CENTRALIZED,2,1,20001,50.0,50.0,true,0.22162199020385742,0.20461535453796387,242.0,2.125,7.375,3.8125,4.0
20260213_144308,AGG_ORACLE_FCFS,2,1,20001,50.0,50.0,true,0.08507800102233887,0.08464336395263672,242.0,2.1875,7.375,3.8125,4.0
20260213_144308,CE_NAIVE,2,1,20001,50.0,50.0,true,10.132865905761719,10.132571458816528,95.0,3.5625,4.6875,4.0,4.666666666666667
20260213_144308,RRCE_PNE,2,1,20001,50.0,50.0,true,1.4929931163787842,1.4927494525909424,130.0,3.4375,5.375,3.875,4.0
