timestamp,solver,seed,rep,run_seed,coord_sigma,real_sigma,epoch,t,Qsum,n_backlog,n_pushed,J_coord,solver_time_sec,fairness_ep
20260213_133947,GREEDY_CENTRALIZED,4,1,40001,0.0,0.0,1,0,0,1,1,0.0,0.00014901161193847656,0.0
20260213_133947,GREEDY_CENTRALIZED,4,1,40001,0.0,0.0,2,4,0,1,1,0.0,3.0994415283203125e-6,0.0
20260213_133947,GREEDY_CENTRALIZED,4,1,40001,0.0,0.0,3,8,0,2,2,0.0,4.00543212890625e-5,0.0
20260213_133947,GREEDY_CENTRALIZED,4,1,40001,0.0,0.0,4,12,0,3,3,0.0,1.5020370483398438e-5,0.0
20260213_133947,GREEDY_CENTRALIZED,4,1,40001,0.0,0.0,5,16,0,1,1,0.0,4.0531158447265625e-6,0.0
20260213_133947,GREEDY_CENTRALIZED,4,1,40001,0.0,0.0,6,20,0,7,4,12.0,0.0002429485321044922,1000.0
20260213_133947,GREEDY_CENTRALIZED,4,1,40001,0.0,0.0,7,24,1,10,4,24.0,0.001653909683227539,1000.0
20260213_133947,GREEDY_CENTRALIZED,4,1,40001,0.0,0.0,8,28,1,7,4,12.0,0.00019502639770507812,1000.0
20260213_133947,GREEDY_CENTRALIZED,4,1,40001,0.0,0.0,9,32,3,5,4,4.0,0.000102996826171875,333.3333333333333
20260213_133947,GREEDY_CENTRALIZED,4,1,40001,0.0,0.0,10,36,4,6,4,8.0,7.82012939453125e-5,573.3333333333334
20260213_133947,GREEDY_CENTRALIZED,4,1,40001,0.0,0.0,11,40,4,8,4,16.0,0.00031685829162597656,720.0
20260213_133947,GREEDY_CENTRALIZED,4,1,40001,0.0,0.0,12,44,4,7,4,12.0,0.00022602081298828125,720.0
20260213_133947,GREEDY_CENTRALIZED,4,1,40001,0.0,0.0,13,48,4,9,4,20.0,0.0008521080017089844,800.0
20260213_133947,GREEDY_CENTRALIZED,4,1,40001,0.0,0.0,14,52,4,12,4,32.0,0.00940394401550293,680.0
20260213_133947,GREEDY_CENTRALIZED,4,1,40001,0.0,0.0,15,56,4,10,4,52.0,0.002724170684814453,980.0
20260213_133947,GREEDY_CENTRALIZED,4,1,40001,0.0,0.0,16,60,6,9,4,40.0,0.000885009765625,1480.0
