timestamp,solver,seed,rep,run_seed,coord_sigma,real_sigma,enable_deviation,total_time_sec,sum_solver_time_sec,total_obj,avg_Qsum,avg_backlog,avg_pushed,fairness_max_gap
20260213_143722,GREEDY_CENTRALIZED,2,1,20001,20.0,20.0,true,0.09628105163574219,0.0943002700805664,232.0,2.1875,6.125,3.25,8.0
20260213_143722,AGG_ORACLE_FCFS,2,1,20001,20.0,20.0,true,0.02916693687438965,0.024567604064941406,282.0,2.625,6.125,3.25,8.0
20260213_143722,CE_NAIVE,2,1,20001,20.0,20.0,true,1.827944040298462,1.8276615142822266,262.0,3.8125,4.3125,3.5625,12.0
20260213_143722,RRCE_PNE,2,1,20001,20.0,20.0,true,1.763504981994629,1.7631003856658936,279.0,3.6875,4.8125,3.4375,10.0
