timestamp,solver,seed,rep,run_seed,coord_sigma,real_sigma,epoch,t,Qsum,n_backlog,n_pushed,J_coord,solver_time_sec,fairness_ep
20260213_145350,GREEDY_CENTRALIZED,8812,1,88120001,20.0,20.0,1,0,0,2,2,0.0,0.00014400482177734375,0.0
20260213_145350,GREEDY_CENTRALIZED,8812,1,88120001,20.0,20.0,2,4,0,6,4,8.0,0.00024700164794921875,720.0
20260213_145350,GREEDY_CENTRALIZED,8812,1,88120001,20.0,20.0,3,8,0,7,4,12.0,0.00043487548828125,720.0
20260213_145350,GREEDY_CENTRALIZED,8812,1,88120001,20.0,20.0,4,12,1,10,4,24.0,0.008817911148071289,640.0
20260213_145350,GREEDY_CENTRALIZED,8812,1,88120001,20.0,20.0,5,16,1,11,4,28.0,0.009786128997802734,720.0
20260213_145350,GREEDY_CENTRALIZED,8812,1,88120001,20.0,20.0,6,20,1,12,4,32.0,0.06046700477600098,824.0
20260213_145350,GREEDY_CENTRALIZED,8812,1,88120001,20.0,20.0,7,24,2,15,5,55.0,0.1110231876373291,1044.0
20260213_145350,GREEDY_CENTRALIZED,8812,1,88120001,20.0,20.0,8,28,3,15,5,55.0,0.15155506134033203,1105.0
20260213_145350,GREEDY_CENTRALIZED,8812,1,88120001,20.0,20.0,9,32,4,16,7,212.0,0.3276638984680176,887.5
20260213_145350,GREEDY_CENTRALIZED,8812,1,88120001,20.0,20.0,10,36,7,14,5,60.0,0.05312991142272949,616.6666666666666
20260213_145350,GREEDY_CENTRALIZED,8812,1,88120001,20.0,20.0,11,40,8,13,5,53.0,0.028014183044433594,725.0
20260213_145350,GREEDY_CENTRALIZED,8812,1,88120001,20.0,20.0,12,44,9,14,5,78.0,0.055119991302490234,930.0
20260213_145350,GREEDY_CENTRALIZED,8812,1,88120001,20.0,20.0,13,48,10,16,5,114.0,0.3022768497467041,570.0
20260213_145350,GREEDY_CENTRALIZED,8812,1,88120001,20.0,20.0,14,52,11,16,6,190.0,0.30930280685424805,840.0
20260213_145350,GREEDY_CENTRALIZED,8812,1,88120001,20.0,20.0,15,56,13,16,6,222.0,0.22444701194763184,680.0
20260213_145350,GREEDY_CENTRALIZED,8812,1,88120001,20.0,20.0,16,60,15,13,6,192.0,0.02811408042907715,1416.0
20260213_145350,AGG_ORACLE_FCFS,8812,1,88120001,20.0,20.0,1,0,0,2,2,0.0,3.504753112792969e-5,0.0
20260213_145350,AGG_ORACLE_FCFS,8812,1,88120001,20.0,20.0,2,4,0,6,4,8.0,0.00015401840209960938,720.0
20260213_145350,AGG_ORACLE_FCFS,8812,1,88120001,20.0,20.0,3,8,0,7,4,12.0,0.0003349781036376953,720.0
20260213_145350,AGG_ORACLE_FCFS,8812,1,88120001,20.0,20.0,4,12,1,10,4,24.0,0.0024971961975097656,640.0
20260213_145350,AGG_ORACLE_FCFS,8812,1,88120001,20.0,20.0,5,16,1,11,4,28.0,0.005849123001098633,720.0
20260213_145350,AGG_ORACLE_FCFS,8812,1,88120001,20.0,20.0,6,20,1,12,4,32.0,0.013945817947387695,824.0
20260213_145350,AGG_ORACLE_FCFS,8812,1,88120001,20.0,20.0,7,24,2,15,5,55.0,0.1908130645751953,1044.0
20260213_145350,AGG_ORACLE_FCFS,8812,1,88120001,20.0,20.0,8,28,3,15,5,55.0,0.11245107650756836,1105.0
20260213_145350,AGG_ORACLE_FCFS,8812,1,88120001,20.0,20.0,9,32,4,16,7,212.0,0.3232088088989258,887.5
20260213_145350,AGG_ORACLE_FCFS,8812,1,88120001,20.0,20.0,10,36,7,14,5,60.0,0.05626821517944336,616.6666666666666
20260213_145350,AGG_ORACLE_FCFS,8812,1,88120001,20.0,20.0,11,40,8,13,5,53.0,0.027615070343017578,725.0
20260213_145350,AGG_ORACLE_FCFS,8812,1,88120001,20.0,20.0,12,44,9,14,5,78.0,0.05132603645324707,930.0
20260213_145350,AGG_ORACLE_FCFS,8812,1,88120001,20.0,20.0,13,48,10,16,5,114.0,0.2106640338897705,570.0
20260213_145350,AGG_ORACLE_FCFS,8812,1,88120001,20.0,20.0,14,52,11,16,6,190.0,0.30101490020751953,840.0
20260213_145350,AGG_ORACLE_FCFS,8812,1,88120001,20.0,20.0,15,56,13,16,6,222.0,0.23145294189453125,680.0
20260213_145350,AGG_ORACLE_FCFS,8812,1,88120001,20.0,20.0,16,60,15,13,6,192.0,0.023555994033813477,1416.0
20260213_145350,CE_NAIVE,8812,1,88120001,20.0,20.0,1,0,0,2,2,0.0,0.10810208320617676,0.0
20260213_145350,CE_NAIVE,8812,1,88120001,20.0,20.0,2,4,0,6,5,10.0,0.19108009338378906,595.0
20260213_145350,CE_NAIVE,8812,1,88120001,20.0,20.0,3,8,2,6,5,10.0,0.24853086471557617,595.0
20260213_145350,CE_NAIVE,8812,1,88120001,20.0,20.0,4,12,3,8,5,20.0,0.45215392112731934,520.0
20260213_145350,CE_NAIVE,8812,1,88120001,20.0,20.0,5,16,4,8,5,20.0,0.17898011207580566,526.0
20260213_145350,CE_NAIVE,8812,1,88120001,20.0,20.0,6,20,5,8,5,20.0,0.3097059726715088,777.5
20260213_145350,CE_NAIVE,8812,1,88120001,20.0,20.0,7,24,6,10,5,46.0,0.28989100456237793,1625.0
20260213_145350,CE_NAIVE,8812,1,88120001,20.0,20.0,8,28,7,10,5,44.0,0.20421600341796875,752.5
20260213_145350,CE_NAIVE,8812,1,88120001,20.0,20.0,9,32,8,11,5,77.0,0.3318018913269043,1352.5
20260213_145350,CE_NAIVE,8812,1,88120001,20.0,20.0,10,36,9,11,5,55.0,0.35088396072387695,925.0
20260213_145350,CE_NAIVE,8812,1,88120001,20.0,20.0,11,40,10,10,5,54.0,0.2785780429840088,1225.0
20260213_145350,CE_NAIVE,8812,1,88120001,20.0,20.0,12,44,11,11,4,52.0,0.32828211784362793,1933.3333333333333
20260213_145350,CE_NAIVE,8812,1,88120001,20.0,20.0,13,48,11,14,5,106.0,0.2564568519592285,784.0
20260213_145350,CE_NAIVE,8812,1,88120001,20.0,20.0,14,52,12,14,5,122.0,0.2661900520324707,440.0
20260213_145350,CE_NAIVE,8812,1,88120001,20.0,20.0,15,56,13,15,5,145.0,0.4142289161682129,456.6666666666665
20260213_145350,CE_NAIVE,8812,1,88120001,20.0,20.0,16,60,14,13,6,182.0,0.22910404205322266,1340.0
20260213_145350,RRCE_PNE,8812,1,88120001,20.0,20.0,1,0,0,2,2,0.0,0.09832310676574707,0.0
20260213_145350,RRCE_PNE,8812,1,88120001,20.0,20.0,2,4,0,6,5,10.0,0.11330103874206543,595.0
20260213_145350,RRCE_PNE,8812,1,88120001,20.0,20.0,3,8,1,6,5,10.0,0.18652987480163574,595.0
20260213_145350,RRCE_PNE,8812,1,88120001,20.0,20.0,4,12,2,8,5,20.0,0.19929099082946777,920.0
