timestamp,solver,seed,rep,run_seed,coord_sigma,real_sigma,epoch,t,Qsum,n_backlog,n_pushed,J_coord,solver_time_sec,fairness_ep
20260213_150911,GREEDY_CENTRALIZED,2889,1,28890001,100.0,100.0,1,0,0,1,1,0.0,3.3855438232421875e-5,0.0
20260213_150911,GREEDY_CENTRALIZED,2889,1,28890001,100.0,100.0,2,4,0,1,1,0.0,4.0531158447265625e-6,0.0
20260213_150911,GREEDY_CENTRALIZED,2889,1,28890001,100.0,100.0,3,8,0,2,2,0.0,1.9073486328125e-5,0.0
20260213_150911,GREEDY_CENTRALIZED,2889,1,28890001,100.0,100.0,4,12,0,3,3,0.0,1.4066696166992188e-5,0.0
20260213_150911,GREEDY_CENTRALIZED,2889,1,28890001,100.0,100.0,5,16,0,1,1,0.0,4.0531158447265625e-6,0.0
20260213_150911,GREEDY_CENTRALIZED,2889,1,28890001,100.0,100.0,6,20,0,7,4,12.0,0.0002999305725097656,1000.0
20260213_150911,GREEDY_CENTRALIZED,2889,1,28890001,100.0,100.0,7,24,1,10,4,24.0,0.003010988235473633,1000.0
20260213_150911,GREEDY_CENTRALIZED,2889,1,28890001,100.0,100.0,8,28,1,7,4,12.0,0.0003390312194824219,1000.0
20260213_150911,GREEDY_CENTRALIZED,2889,1,28890001,100.0,100.0,9,32,3,5,4,4.0,8.20159912109375e-5,333.3333333333333
20260213_150911,GREEDY_CENTRALIZED,2889,1,28890001,100.0,100.0,10,36,4,6,4,8.0,0.00017309188842773438,573.3333333333334
20260213_150911,GREEDY_CENTRALIZED,2889,1,28890001,100.0,100.0,11,40,4,8,4,16.0,0.0007040500640869141,720.0
20260213_150911,GREEDY_CENTRALIZED,2889,1,28890001,100.0,100.0,12,44,4,7,4,12.0,0.00042510032653808594,720.0
20260213_150911,GREEDY_CENTRALIZED,2889,1,28890001,100.0,100.0,13,48,4,9,4,20.0,0.001463174819946289,800.0
20260213_150911,GREEDY_CENTRALIZED,2889,1,28890001,100.0,100.0,14,52,4,12,4,32.0,0.019229888916015625,680.0
20260213_150911,GREEDY_CENTRALIZED,2889,1,28890001,100.0,100.0,15,56,4,10,4,52.0,0.0026519298553466797,980.0
20260213_150911,GREEDY_CENTRALIZED,2889,1,28890001,100.0,100.0,16,60,6,9,4,40.0,0.0013420581817626953,1480.0
20260213_150911,AGG_ORACLE_FCFS,2889,1,28890001,100.0,100.0,1,0,0,1,1,0.0,1.3828277587890625e-5,0.0
20260213_150911,AGG_ORACLE_FCFS,2889,1,28890001,100.0,100.0,2,4,0,1,1,0.0,4.0531158447265625e-6,0.0
20260213_150911,AGG_ORACLE_FCFS,2889,1,28890001,100.0,100.0,3,8,0,2,2,0.0,1.5020370483398438e-5,0.0
20260213_150911,AGG_ORACLE_FCFS,2889,1,28890001,100.0,100.0,4,12,0,3,3,0.0,1.5974044799804688e-5,0.0
20260213_150911,AGG_ORACLE_FCFS,2889,1,28890001,100.0,100.0,5,16,0,1,1,0.0,3.814697265625e-6,0.0
20260213_150911,AGG_ORACLE_FCFS,2889,1,28890001,100.0,100.0,6,20,0,7,4,12.0,0.00029015541076660156,1000.0
20260213_150911,AGG_ORACLE_FCFS,2889,1,28890001,100.0,100.0,7,24,1,10,4,24.0,0.0031349658966064453,1000.0
20260213_150911,AGG_ORACLE_FCFS,2889,1,28890001,100.0,100.0,8,28,1,7,4,12.0,0.0003261566162109375,1000.0
20260213_150911,AGG_ORACLE_FCFS,2889,1,28890001,100.0,100.0,9,32,3,5,4,4.0,7.987022399902344e-5,333.3333333333333
20260213_150911,AGG_ORACLE_FCFS,2889,1,28890001,100.0,100.0,10,36,4,6,4,14.0,0.0001628398895263672,740.0
20260213_150911,AGG_ORACLE_FCFS,2889,1,28890001,100.0,100.0,11,40,5,8,4,16.0,0.0006840229034423828,720.0
20260213_150911,AGG_ORACLE_FCFS,2889,1,28890001,100.0,100.0,12,44,5,7,4,22.0,0.0003368854522705078,1080.0
20260213_150911,AGG_ORACLE_FCFS,2889,1,28890001,100.0,100.0,13,48,5,9,4,44.0,0.0013461112976074219,813.3333333333333
20260213_150911,AGG_ORACLE_FCFS,2889,1,28890001,100.0,100.0,14,52,6,12,4,56.0,0.015130043029785156,1440.0
