timestamp,solver,seed,rep,run_seed,coord_sigma,real_sigma,epoch,t,Qsum,n_backlog,n_pushed,J_coord,solver_time_sec,fairness_ep
20260213_142827,GREEDY_CENTRALIZED,100,1,1000001,100.0,100.0,1,0,0,1,1,0.0,0.08164191246032715,0.0
20260213_142827,GREEDY_CENTRALIZED,100,1,1000001,100.0,100.0,2,4,0,1,1,0.0,6.9141387939453125e-6,0.0
20260213_142827,GREEDY_CENTRALIZED,100,1,1000001,100.0,100.0,3,8,0,2,2,0.0,0.031610965728759766,0.0
20260213_142827,GREEDY_CENTRALIZED,100,1,1000001,100.0,100.0,4,12,0,3,3,0.0,1.6927719116210938e-5,0.0
20260213_142827,GREEDY_CENTRALIZED,100,1,1000001,100.0,100.0,5,16,0,1,1,0.0,8.821487426757812e-6,0.0
20260213_142827,GREEDY_CENTRALIZED,100,1,1000001,100.0,100.0,6,20,0,7,4,12.0,0.049139976501464844,1000.0
20260213_142827,GREEDY_CENTRALIZED,100,1,1000001,100.0,100.0,7,24,1,10,4,24.0,0.003316164016723633,1000.0
20260213_142827,GREEDY_CENTRALIZED,100,1,1000001,100.0,100.0,8,28,1,7,4,12.0,0.042172908782958984,1000.0
20260213_142827,GREEDY_CENTRALIZED,100,1,1000001,100.0,100.0,9,32,3,5,4,4.0,0.0383758544921875,333.3333333333333
20260213_142827,GREEDY_CENTRALIZED,100,1,1000001,100.0,100.0,10,36,4,6,4,8.0,0.00016999244689941406,573.3333333333334
20260213_142827,GREEDY_CENTRALIZED,100,1,1000001,100.0,100.0,11,40,4,8,4,16.0,0.0007169246673583984,720.0
20260213_142827,GREEDY_CENTRALIZED,100,1,1000001,100.0,100.0,12,44,4,7,4,12.0,0.00038695335388183594,720.0
20260213_142827,GREEDY_CENTRALIZED,100,1,1000001,100.0,100.0,13,48,4,9,4,20.0,0.001522064208984375,800.0
20260213_142827,GREEDY_CENTRALIZED,100,1,1000001,100.0,100.0,14,52,4,12,4,32.0,0.0257260799407959,680.0
20260213_142827,GREEDY_CENTRALIZED,100,1,1000001,100.0,100.0,15,56,4,10,4,52.0,0.0028409957885742188,980.0
20260213_142827,GREEDY_CENTRALIZED,100,1,1000001,100.0,100.0,16,60,6,9,4,40.0,0.0014679431915283203,1480.0
20260213_142827,AGG_ORACLE_FCFS,100,1,1000001,100.0,100.0,1,0,0,1,1,0.0,3.981590270996094e-5,0.0
20260213_142827,AGG_ORACLE_FCFS,100,1,1000001,100.0,100.0,2,4,0,1,1,0.0,4.0531158447265625e-6,0.0
20260213_142827,AGG_ORACLE_FCFS,100,1,1000001,100.0,100.0,3,8,0,2,2,0.0,1.5020370483398438e-5,0.0
20260213_142827,AGG_ORACLE_FCFS,100,1,1000001,100.0,100.0,4,12,0,3,3,0.0,2.5033950805664062e-5,0.0
20260213_142827,AGG_ORACLE_FCFS,100,1,1000001,100.0,100.0,5,16,0,1,1,0.0,5.0067901611328125e-6,0.0
20260213_142827,AGG_ORACLE_FCFS,100,1,1000001,100.0,100.0,6,20,0,7,4,12.0,0.00033211708068847656,1000.0
20260213_142827,AGG_ORACLE_FCFS,100,1,1000001,100.0,100.0,7,24,1,10,4,24.0,0.0034799575805664062,1000.0
20260213_142827,AGG_ORACLE_FCFS,100,1,1000001,100.0,100.0,8,28,1,7,4,12.0,0.00039196014404296875,1000.0
20260213_142827,AGG_ORACLE_FCFS,100,1,1000001,100.0,100.0,9,32,3,5,4,4.0,9.608268737792969e-5,333.3333333333333
20260213_142827,AGG_ORACLE_FCFS,100,1,1000001,100.0,100.0,10,36,4,6,4,14.0,0.00019788742065429688,740.0
20260213_142827,AGG_ORACLE_FCFS,100,1,1000001,100.0,100.0,11,40,5,8,4,16.0,0.000885009765625,720.0
20260213_142827,AGG_ORACLE_FCFS,100,1,1000001,100.0,100.0,12,44,5,7,4,22.0,0.0003960132598876953,1080.0
20260213_142827,AGG_ORACLE_FCFS,100,1,1000001,100.0,100.0,13,48,5,9,4,44.0,0.0015799999237060547,813.3333333333333
20260213_142827,AGG_ORACLE_FCFS,100,1,1000001,100.0,100.0,14,52,6,12,4,56.0,0.011301994323730469,1440.0
20260213_142827,AGG_ORACLE_FCFS,100,1,1000001,100.0,100.0,15,56,6,10,4,44.0,0.002855062484741211,1340.0
20260213_142827,AGG_ORACLE_FCFS,100,1,1000001,100.0,100.0,16,60,6,9,4,40.0,0.0015459060668945312,1480.0
20260213_142827,CE_NAIVE,100,1,1000001,100.0,100.0,1,0,0,1,1,0.0,6.712184906005859,0.0
20260213_142827,CE_NAIVE,100,1,1000001,100.0,100.0,2,4,0,1,1,0.0,0.09822988510131836,0.0
20260213_142827,CE_NAIVE,100,1,1000001,100.0,100.0,3,8,0,2,2,0.0,0.28463101387023926,0.0
20260213_142827,CE_NAIVE,100,1,1000001,100.0,100.0,4,12,0,3,3,0.0,0.10402679443359375,0.0
20260213_142827,CE_NAIVE,100,1,1000001,100.0,100.0,5,16,0,1,1,0.0,0.10010313987731934,0.0
20260213_142827,CE_NAIVE,100,1,1000001,100.0,100.0,6,20,0,7,5,15.0,1.0132980346679688,736.6666666666666
20260213_142827,CE_NAIVE,100,1,1000001,100.0,100.0,7,24,2,9,5,25.0,1.2766308784484863,1320.0
20260213_142827,CE_NAIVE,100,1,1000001,100.0,100.0,8,28,3,5,4,4.0,0.23151302337646484,333.3333333333333
20260213_142827,CE_NAIVE,100,1,1000001,100.0,100.0,9,32,4,3,3,6.0,0.25855493545532227,100.0
