mc,solver,status,n_backlog_total,n_airlines,Q0_runway,B0_total,t_epoch,lateness_mean,lateness_std,coord_sigma,real_sigma,obj,fairness_gap,n_pushed,n_dev,dev_rate,solver_time_sec,wall_ms,num_pne
1,GREEDY_CENTRALIZED,OK,6,4,3;4,6,0,10.0,10.0,10.0,10.0,8.0,4.0,4,0,0.0,0.0722208023071289,941.8511390686035,
1,AGG_ORACLE_FCFS,OK,6,4,3;4,6,0,10.0,10.0,10.0,10.0,8.0,4.0,4,0,0.0,9.107589721679688e-5,0.102996826171875,
1,CE_FULL,OK,6,4,3;4,6,0,10.0,10.0,10.0,10.0,10.0,4.0,5,0,0.0,17.17256498336792,17172.566175460815,
1,CE_NAIVE,OK,6,4,3;4,6,0,10.0,10.0,10.0,10.0,10.0,4.0,5,0,0.0,0.5555210113525391,555.5241107940674,3
1,RRCE_PNE,OK,6,4,3;4,6,0,10.0,10.0,10.0,10.0,10.0,1.3333333333333335,5,0,0.0,0.15429306030273438,154.2959213256836,3
2,GREEDY_CENTRALIZED,OK,6,3,3;4,6,0,10.0,10.0,10.0,10.0,8.0,4.0,4,0,0.0,0.04929518699645996,49.29804801940918,
2,AGG_ORACLE_FCFS,OK,6,3,3;4,6,0,10.0,10.0,10.0,10.0,8.0,4.0,4,0,0.0,6.580352783203125e-5,0.06794929504394531,
2,CE_FULL,OK,6,3,3;4,6,0,10.0,10.0,10.0,10.0,10.0,4.0,5,0,0.0,6.808667182922363,6808.66813659668,
2,CE_NAIVE,OK,6,3,3;4,6,0,10.0,10.0,10.0,10.0,10.0,4.0,5,0,0.0,0.34905004501342773,349.05290603637695,3
2,RRCE_PNE,OK,6,3,3;4,6,0,10.0,10.0,10.0,10.0,10.0,4.0,5,0,0.0,0.30426502227783203,304.26716804504395,1
3,GREEDY_CENTRALIZED,OK,6,4,3;4,6,0,10.0,10.0,10.0,10.0,8.0,4.0,4,0,0.0,6.699562072753906e-5,0.06890296936035156,
3,AGG_ORACLE_FCFS,OK,6,4,3;4,6,0,10.0,10.0,10.0,10.0,8.0,4.0,4,0,0.0,5.793571472167969e-5,0.0591278076171875,
3,CE_FULL,OK,6,4,3;4,6,0,10.0,10.0,10.0,10.0,8.0,2.0,4,0,0.0,5.774846076965332,5774.847984313965,
3,CE_NAIVE,OK,6,4,3;4,6,0,10.0,10.0,10.0,10.0,8.0,4.0,4,0,0.0,0.3047769069671631,304.7788143157959,3
3,RRCE_PNE,OK,6,4,3;4,6,0,10.0,10.0,10.0,10.0,8.0,2.0,4,0,0.0,0.17305493354797363,173.05803298950195,3
4,GREEDY_CENTRALIZED,OK,6,4,3;4,6,0,10.0,10.0,10.0,10.0,12.0,4.0,3,0,0.0,6.604194641113281e-5,0.06890296936035156,
4,AGG_ORACLE_FCFS,OK,6,4,3;4,6,0,10.0,10.0,10.0,10.0,22.0,4.0,3,0,0.0,6.198883056640625e-5,0.06318092346191406,
4,CE_FULL,OK,6,4,3;4,6,0,10.0,10.0,10.0,10.0,18.0,5.0,4,0,0.0,5.867829084396362,5867.830038070679,
4,CE_NAIVE,OK,6,4,3;4,6,0,10.0,10.0,10.0,10.0,18.0,5.0,4,0,0.0,0.3161940574645996,316.1969184875488,1
4,RRCE_PNE,OK,6,4,3;4,6,0,10.0,10.0,10.0,10.0,18.0,5.0,4,0,0.0,0.16997718811035156,169.99292373657227,1
