mc,solver,status,n_backlog_total,n_airlines,Q0_runway,B0_total,t_epoch,lateness_mean,lateness_std,coord_sigma,real_sigma,obj,fairness_gap,n_pushed,n_dev,dev_rate,solver_time_sec,wall_ms,num_pne
1,GREEDY_CENTRALIZED,OK,6,3,3;4,6,0,0.0,10.0,20.0,20.0,8.0,4.0,4,0,0.0,9.417533874511719e-5,0.09703636169433594,
1,AGG_ORACLE_FCFS,OK,6,3,3;4,6,0,0.0,10.0,20.0,20.0,8.0,4.0,4,0,0.0,7.700920104980469e-5,0.07796287536621094,
1,CE_FULL,MCP_Solved,6,3,3;4,6,0,0.0,10.0,20.0,20.0,8.0,2.0,4,0,0.0,20.0011248588562,20001.126050949097,
1,CE_NAIVE,OK,6,3,3;4,6,0,0.0,10.0,20.0,20.0,8.0,2.0,4,0,0.0,0.3250260353088379,325.0279426574707,2
1,RRCE_PNE,OK,6,3,3;4,6,0,0.0,10.0,20.0,20.0,8.0,2.0,4,0,0.0,0.3228721618652344,322.8740692138672,2
2,GREEDY_CENTRALIZED,OK,6,3,3;4,6,0,0.0,10.0,20.0,20.0,8.0,4.0,4,0,0.0,6.890296936035156e-5,0.07081031799316406,
2,AGG_ORACLE_FCFS,OK,6,3,3;4,6,0,0.0,10.0,20.0,20.0,8.0,4.0,4,0,0.0,6.4849853515625e-5,0.06699562072753906,
2,CE_FULL,MCP_NoProgress,6,3,3;4,6,0,0.0,10.0,20.0,20.0,10.0,1.3333333333333335,5,1,1.0,19.13886785507202,19138.868808746338,
2,CE_NAIVE,OK,6,3,3;4,6,0,0.0,10.0,20.0,20.0,10.0,1.3333333333333335,5,0,0.0,0.4307241439819336,430.7270050048828,4
2,RRCE_PNE,OK,6,3,3;4,6,0,0.0,10.0,20.0,20.0,24.0,0.0,0,0,0.0,0.00014400482177734375,0.1461505889892578,0
3,GREEDY_CENTRALIZED,OK,6,4,3;4,6,0,0.0,10.0,20.0,20.0,8.0,4.0,4,0,0.0,7.82012939453125e-5,0.07915496826171875,
3,AGG_ORACLE_FCFS,OK,6,4,3;4,6,0,0.0,10.0,20.0,20.0,8.0,4.0,4,0,0.0,7.295608520507812e-5,0.07295608520507812,
3,CE_FULL,MCP_Solved,6,4,3;4,6,0,0.0,10.0,20.0,20.0,10.0,1.3333333333333335,5,0,0.0,19.204444885253906,19204.4460773468,
3,CE_NAIVE,OK,6,4,3;4,6,0,0.0,10.0,20.0,20.0,10.0,1.3333333333333335,5,0,0.0,0.35018491744995117,350.1889705657959,1
