mc,solver,status,n_backlog_total,n_airlines,Q0_runway,B0_total,t_epoch,lateness_mean,lateness_std,coord_sigma,real_sigma,obj,fairness_gap,n_pushed,n_dev,dev_rate,solver_time_sec,wall_ms,num_pne
1,GREEDY_CENTRALIZED,OK,7,4,3;4,7,0,0.0,10.0,0.0,0.0,12.0,4.0,4,0,0.0,0.06979203224182129,937.2949600219727,
1,AGG_ORACLE_FCFS,OK,7,4,3;4,7,0,0.0,10.0,0.0,0.0,12.0,4.0,4,0,0.0,0.00020194053649902344,0.2079010009765625,
1,CE_FULL,MCP_Solved,7,4,3;4,7,0,0.0,10.0,0.0,0.0,15.0,2.0,5,0,0.0,24.616342067718506,24616.343021392822,
1,CE_NAIVE,OK,7,4,3;4,7,0,0.0,10.0,0.0,0.0,15.0,2.0,5,0,0.0,0.48706507682800293,487.06817626953125,3
1,RRCE_PNE,OK,7,4,3;4,7,0,0.0,10.0,0.0,0.0,15.0,4.0,5,0,0.0,0.1861109733581543,186.11407279968262,3
2,GREEDY_CENTRALIZED,OK,7,4,3;4,7,0,0.0,10.0,0.0,0.0,12.0,4.0,4,0,0.0,0.00011301040649414062,0.11491775512695312,
2,AGG_ORACLE_FCFS,OK,7,4,3;4,7,0,0.0,10.0,0.0,0.0,22.0,6.0,4,0,0.0,0.00011301040649414062,0.11396408081054688,
2,CE_FULL,MCP_Solved,7,4,3;4,7,0,0.0,10.0,0.0,0.0,12.0,4.0,4,0,0.0,12.282124996185303,12282.124996185303,
2,CE_NAIVE,OK,7,4,3;4,7,0,0.0,10.0,0.0,0.0,12.0,4.0,4,0,0.0,0.34845614433288574,348.45900535583496,2
2,RRCE_PNE,OK,7,4,3;4,7,0,0.0,10.0,0.0,0.0,12.0,4.0,4,0,0.0,0.14941811561584473,149.42097663879395,2
3,GREEDY_CENTRALIZED,OK,7,5,3;4,7,0,0.0,10.0,0.0,0.0,16.0,4.0,3,0,0.0,0.05474686622619629,54.75020408630371,
3,AGG_ORACLE_FCFS,OK,7,5,3;4,7,0,0.0,10.0,0.0,0.0,16.0,4.0,3,0,0.0,0.00013494491577148438,0.13709068298339844,
3,CE_FULL,MCP_Solved,7,5,3;4,7,0,0.0,10.0,0.0,0.0,24.0,4.0,4,0,0.0,12.1924409866333,12192.441940307617,
3,CE_NAIVE,OK,7,5,3;4,7,0,0.0,10.0,0.0,0.0,24.0,4.0,4,0,0.0,0.327286958694458,327.29101181030273,1
3,RRCE_PNE,OK,7,5,3;4,7,0,0.0,10.0,0.0,0.0,24.0,4.0,4,0,0.0,0.15159392356872559,151.5970230102539,1
4,GREEDY_CENTRALIZED,OK,7,4,3;4,7,0,0.0,10.0,0.0,0.0,16.0,4.0,3,0,0.0,0.00011777877807617188,0.12087821960449219,
4,AGG_ORACLE_FCFS,OK,7,4,3;4,7,0,0.0,10.0,0.0,0.0,28.0,4.0,3,0,0.0,0.00011396408081054688,0.11491775512695312,
4,CE_FULL,MCP_Solved,7,4,3;4,7,0,0.0,10.0,0.0,0.0,24.0,5.0,4,0,0.0,12.491930961608887,12491.930961608887,
4,CE_NAIVE,OK,7,4,3;4,7,0,0.0,10.0,0.0,0.0,24.0,2.0,4,0,0.0,0.27962303161621094,279.62493896484375,3
4,RRCE_PNE,OK,7,4,3;4,7,0,0.0,10.0,0.0,0.0,24.0,2.0,4,0,0.0,0.1572279930114746,157.23109245300293,3
5,GREEDY_CENTRALIZED,OK,7,3,3;4,7,0,0.0,10.0,0.0,0.0,12.0,4.0,4,0,0.0,0.0497899055480957,49.79300498962402,
5,AGG_ORACLE_FCFS,OK,7,3,3;4,7,0,0.0,10.0,0.0,0.0,12.0,4.0,4,0,0.0,0.00013017654418945312,0.1380443572998047,
5,CE_FULL,MCP_Solved,7,3,3;4,7,0,0.0,10.0,0.0,0.0,12.0,2.6666666666666665,4,0,0.0,16.096046924591064,16096.048831939697,
5,CE_NAIVE,OK,7,3,3;4,7,0,0.0,10.0,0.0,0.0,15.0,2.6666666666666665,5,0,0.0,0.4927191734313965,492.7210807800293,12
5,RRCE_PNE,OK,7,3,3;4,7,0,0.0,10.0,0.0,0.0,15.0,1.3333333333333335,5,0,0.0,0.26183509826660156,261.8379592895508,12
6,GREEDY_CENTRALIZED,OK,7,4,3;4,7,0,0.0,10.0,0.0,0.0,12.0,4.0,4,0,0.0,0.00013399124145507812,0.13589859008789062,
6,AGG_ORACLE_FCFS,OK,7,4,3;4,7,0,0.0,10.0,0.0,0.0,12.0,4.0,4,0,0.0,0.00012803077697753906,0.12803077697753906,
6,CE_FULL,MCP_Solved,7,4,3;4,7,0,0.0,10.0,0.0,0.0,12.0,2.6666666666666665,4,0,0.0,14.398356914520264,14398.358821868896,
6,CE_NAIVE,OK,7,4,3;4,7,0,0.0,10.0,0.0,0.0,15.0,2.0,5,0,0.0,0.2799499034881592,279.9530029296875,3
6,RRCE_PNE,OK,7,4,3;4,7,0,0.0,10.0,0.0,0.0,15.0,2.6666666666666665,5,0,0.0,0.15837812423706055,158.38003158569336,3
